City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,balabac,7.9868,117.0645,26.67,84,89,1.75,PH,1690042266
84,thompson,55.7435,-97.8558,16.59,45,25,4.92,CA,1690042266
85,grytviken,-54.2811,-36.5092,-3.75,95,100,1.65,GS,1690042266
86,susuman,62.7833,148.1667,14.58,96,100,0.53,RU,1690042266
87,warrenton,-28.114,24.8475,16.84,41,78,4.46,ZA,1690042266
88,lata,40.1629,-8.3327,23.93,43,0,5.78,PT,1690042267
89,hamilton,39.1834,-84.5333,27.82,58,0,2.06,US,1690041779
90,saldanha,-33.0117,17.9442,12.39,74,0,3.17,ZA,1690042267
91,aconibe,1.2968,10.9369,24.69,81,71,0.93,GQ,1690042267
92,acapulco de juarez,16.8634,-99.8901,29.9,66,75,2.06,MX,1690042130
93,puerto baquerizo moreno,-0.9,-89.6,27.55,69,20,3.09,EC,1690042267
94,howrah,22.5892,88.3103,28.0,94,20,1.54,IN,1690042267
95,utrik,11.2278,169.8474,28.0,74,86,7.8,MH,1690042268
96,likisa,-8.6695,125.6875,15.44,80,88,2.16,TL,1690042268
97,kodiak,57.79,-152.4072,7.73,100,100,0.0,US,1690042268
98,hastings,50.8552,0.5729,16.55,37,100,9.13,GB,1690042268
99,invercargill,-46.4,168.35,4.97,90,33,2.11,NZ,1690042268
100,fujin,47.26,132.0322,20.4,92,100,3.11,CN,1690042268
101,bamboo flat,11.7,92.7167,26.62,81,100,5.79,IN,1690042269
102,nsanje,-16.92,35.262,22.23,71,36,2.5,MW,1690042269
103,mabaruma,8.2,-59.7833,30.22,66,19,2.13,GY,1690042269
104,port saint john's,-31.6229,29.5448,19.47,72,72,3.27,ZA,1690042269
105,jamestown,42.097,-79.2353,23.62,60,40,3.09,US,1690042249
106,katabu,-4.9333,122.5167,23.09,87,22,2.15,ID,1690042269
107,kamaishi,39.2667,141.8833,21.27,94,75,3.19,JP,1690042270
108,new norfolk,-42.7826,147.0587,8.84,94,92,1.25,AU,1690042270
109,saint-pierre,-21.3393,55.4781,21.82,73,0,6.69,RE,1690042270
110,kangaba,11.9333,-8.4167,32.37,46,78,2.6,ML,1690042270
111,rikaze,29.25,88.8833,18.58,39,100,4.68,CN,1690042270
112,vorgashor,67.5833,63.95,19.26,83,100,2.81,RU,1690042270
113,kununurra,-15.7667,128.7333,22.99,35,0,5.14,AU,1690042002
114,tazacorte,28.629,-17.9293,26.19,74,20,9.26,ES,1690042271
115,kill devil hills,36.0307,-75.676,28.88,69,0,3.09,US,1690042271
116,kapuskasing,49.4169,-82.4331,23.33,38,52,1.47,CA,1690042212
117,sola,-13.8833,167.55,24.55,89,100,5.97,VU,1690042271
118,garoowe,8.4054,48.4845,30.23,42,97,11.12,SO,1690042271
119,hobyo,5.3505,48.5268,25.17,77,89,11.84,SO,1690042272
120,dolores,-36.3132,-57.6792,22.62,71,100,4.48,AR,1690042272
121,fort st. john,56.2499,-120.8529,17.41,78,31,1.66,CA,1690042272
122,punta cardon,11.6581,-70.215,30.04,65,98,10.01,VE,1690042272
123,remire-montjoly,4.9167,-52.2667,28.02,78,75,2.06,GF,1690042064
124,oum hadjer,13.2954,19.6966,39.11,22,88,2.51,TD,1690042272
125,dickinson,29.4608,-95.0513,35.01,69,40,4.12,US,1690042158
126,kingston,17.997,-76.7936,32.91,71,16,0.89,JM,1690042009
127,piti village,13.4626,144.6933,28.27,90,0,1.54,GU,1690042273
128,fisterra,42.9049,-9.2629,24.3,71,91,9.02,ES,1690042273
129,pithoro,25.5167,69.3833,36.66,47,95,4.58,PK,1690042273
130,taltal,-25.4,-70.4833,20.62,62,67,3.13,CL,1690042273
131,gourcy,13.2167,-2.35,34.15,40,100,3.88,BF,1690042273
132,hameenlinna,60.996,24.4643,21.75,57,100,3.67,FI,1690042274
133,yaren,-0.5472,166.916,27.96,78,100,5.83,NR,1690042274
134,puerto ayora,-0.7393,-90.3518,29.98,77,43,5.45,EC,1690042274
135,tabou,4.423,-7.3528,26.46,72,95,5.03,CI,1690042279
136,bilibino,68.0546,166.4372,12.19,82,88,2.18,RU,1690042279
137,uniao da vitoria,-26.23,-51.0864,19.99,64,85,2.09,BR,1690042181
138,uchiza,-8.4592,-76.4633,29.26,55,53,1.07,PE,1690042280
139,adilcevaz,38.8039,42.7342,25.93,39,0,1.28,TR,1690042280
140,kourou,5.1552,-52.6478,28.03,69,19,4.0,GF,1690042280
141,mahanoro,-19.9,48.8,20.77,78,48,1.38,MG,1690042280
142,san patricio,28.017,-97.5169,33.93,45,2,1.62,US,1690042281
143,greer,34.9387,-82.2271,28.52,68,75,1.54,US,1690042089
144,sur,22.5667,59.5289,31.34,61,100,4.62,OM,1690042281
145,asuncion nochixtlan,17.4667,-97.2333,19.07,65,100,2.26,MX,1690042281
146,mata-utu,-13.2816,-176.1745,28.11,77,91,2.47,WF,1690042281
147,new baltimore,42.6811,-82.7369,26.77,48,40,4.63,US,1690042281
148,moyynkum,44.2914,72.9469,30.62,23,78,8.52,KZ,1690042282
149,souillac,-20.5167,57.5167,23.21,78,40,6.69,MU,1690042282
150,phek,25.6667,94.5,17.47,98,99,0.93,IN,1690042111
151,brasileia,-11.0161,-68.7481,34.33,30,0,1.31,BR,1690042094
152,papatowai,-46.5619,169.4708,8.18,97,84,4.34,NZ,1690042282
153,hancheng,32.5186,112.3522,26.52,90,0,2.83,CN,1690042282
154,lompoc,34.6391,-120.4579,21.08,100,0,2.06,US,1690042077
155,freetown,8.484,-13.2299,26.35,83,87,5.02,SL,1690042103
156,tham phannara,8.4204,99.3952,23.58,92,100,1.31,TH,1690042283
157,markovo,57.3206,107.0881,17.15,68,2,0.26,RU,1690042283
158,rumphi,-11.0186,33.8575,18.85,55,0,2.23,MW,1690042283
159,punta arenas,-53.15,-70.9167,1.31,70,21,4.57,CL,1690041999
160,mawlaik,23.6333,94.4167,25.9,96,100,0.83,MM,1690042283
161,raton,36.9034,-104.4391,23.19,60,0,3.09,US,1690042284
162,farafangana,-22.8167,47.8333,20.49,86,82,3.28,MG,1690042284
163,koidu,8.4167,-10.8333,27.03,79,100,2.44,SL,1690042284
164,lihue,21.9789,-159.3672,24.77,89,100,7.2,US,1690042284
165,trenggalek,-8.05,111.7167,22.39,94,93,1.34,ID,1690042284
166,levuka,50.1834,-105.4011,23.9,39,25,1.26,CA,1690042284
167,san antonio de pale,-1.4014,5.6325,23.09,77,45,5.63,GQ,1690042285
168,suluru,13.7,80.0167,30.15,57,100,5.45,IN,1690042285
169,umba,66.6871,34.3429,11.65,87,100,5.0,RU,1690042285
170,namibe,-15.1961,12.1522,19.91,75,13,4.31,AO,1690042285
171,high rock,26.6208,-78.2833,30.38,73,30,5.99,BS,1690042285
172,gouyave,12.1646,-61.7296,27.81,74,100,6.74,GD,1690042285
173,envira,-7.3,-70.2167,32.8,38,0,1.53,BR,1690042285
174,whitehorse,60.7161,-135.0538,14.43,86,75,1.03,CA,1690041991
175,holualoa,19.6228,-155.9522,24.93,81,75,2.06,US,1690042286
176,bacabal,-4.2917,-44.7917,33.44,30,18,3.13,BR,1690042286
177,nguigmi,14.2495,13.1092,32.0,47,75,5.64,NE,1690042286
178,boguchany,58.3814,97.4531,19.75,54,82,1.48,RU,1690042286
179,saipan,15.1355,145.701,27.58,100,40,5.14,MP,1690042286
180,tolanaro,-25.0319,46.9987,19.91,86,83,6.35,MG,1690042286
181,bengkulu,-3.8004,102.2655,25.12,90,48,2.26,ID,1690042287
182,kiunga,-6.1219,141.2906,22.6,97,100,0.87,PG,1690042287
183,leava,-14.3,-178.1667,26.14,79,46,3.43,WF,1690042287
184,kovalam,8.3667,76.9967,29.05,79,40,5.14,IN,1690042287
185,erenhot,43.6475,111.9767,23.58,54,29,6.43,CN,1690042287
186,nicoya,10.1483,-85.452,29.6,72,100,1.81,CR,1690042288
187,enewetak,11.3474,162.3373,28.29,78,63,6.26,MH,1690042288
188,broken hill,-31.95,141.4333,9.68,63,96,4.17,AU,1690042288
189,wabag,-5.4781,143.7021,13.48,98,90,0.92,PG,1690042288
190,north bend,43.4065,-124.2243,18.42,94,40,1.54,US,1690042288
191,margaret river,-33.95,115.0667,11.92,80,0,2.69,AU,1690042293
192,poronaysk,49.2167,143.1167,18.93,83,98,0.75,RU,1690042294
193,sorong,-0.8833,131.25,25.62,85,8,5.35,ID,1690042294
194,gizo,-8.103,156.8419,26.23,81,100,8.84,SB,1690042294
195,cockburn town,21.4612,-71.1419,28.51,72,81,5.24,TC,1690042294
